Transect,Plant,Species
10,16,Sapranthus
3,7,Acalypha diversifolia
4,2,Acalypha diversifolia
6,7,Acalypha diversifolia
6,8,Acalypha diversifolia
8,7,Acalypha diversifolia
8,10,Acalypha diversifolia
7,6,Aegephila costaricensis
6,26,Allophylus campostachys
5,10,Amphitecna tuxtlensis
8,27,Apocynaceae 1
2,7,Apocynacee 2
8,30,Apoxynacaea 2
8,18,Arrabidea verrucosa
1,1,Astrocaryum mexicanum
1,9,Astrocaryum mexicanum
1,10,Astrocaryum mexicanum
1,13,Astrocaryum mexicanum
1,14,Astrocaryum mexicanum
1,20,Astrocaryum mexicanum
1,21,Astrocaryum mexicanum
1,23,Astrocaryum mexicanum
1,24,Astrocaryum mexicanum
1,25,Astrocaryum mexicanum
1,29,Astrocaryum mexicanum
1,32,Astrocaryum mexicanum
1,33,Astrocaryum mexicanum
2,5,Astrocaryum mexicanum
2,10,Astrocaryum mexicanum
2,20,Astrocaryum mexicanum
2,26,Astrocaryum mexicanum
2,27,Astrocaryum mexicanum
2,28,Astrocaryum mexicanum
2,29,Astrocaryum mexicanum
2,30,Astrocaryum mexicanum
3,8,Astrocaryum mexicanum
3,10,Astrocaryum mexicanum
3,11,Astrocaryum mexicanum
3,14,Astrocaryum mexicanum
3,15,Astrocaryum mexicanum
3,16,Astrocaryum mexicanum
3,17,Astrocaryum mexicanum
3,19,Astrocaryum mexicanum
3,21,Astrocaryum mexicanum
3,22,Astrocaryum mexicanum
3,23,Astrocaryum mexicanum
3,25,Astrocaryum mexicanum
3,26,Astrocaryum mexicanum
3,27,Astrocaryum mexicanum
4,1,Astrocaryum mexicanum
4,3,Astrocaryum mexicanum
4,4,Astrocaryum mexicanum
4,5,Astrocaryum mexicanum
4,6,Astrocaryum mexicanum
4,9,Astrocaryum mexicanum
4,10,Astrocaryum mexicanum
4,12,Astrocaryum mexicanum
4,14,Astrocaryum mexicanum
4,15,Astrocaryum mexicanum
4,19,Astrocaryum mexicanum
4,20,Astrocaryum mexicanum
4,21,Astrocaryum mexicanum
5,3,Astrocaryum mexicanum
5,6,Astrocaryum mexicanum
5,12,Astrocaryum mexicanum
5,13,Astrocaryum mexicanum
5,14,Astrocaryum mexicanum
5,15,Astrocaryum mexicanum
5,16,Astrocaryum mexicanum
6,11,Astrocaryum mexicanum
6,12,Astrocaryum mexicanum
6,13,Astrocaryum mexicanum
6,14,Astrocaryum mexicanum
6,18,Astrocaryum mexicanum
6,19,Astrocaryum mexicanum
6,20,Astrocaryum mexicanum
6,21,Astrocaryum mexicanum
6,23,Astrocaryum mexicanum
6,28,Astrocaryum mexicanum
6,29,Astrocaryum mexicanum
6,30,Astrocaryum mexicanum
7,2,Astrocaryum mexicanum
7,7,Astrocaryum mexicanum
7,24,Astrocaryum mexicanum
7,27,Astrocaryum mexicanum
7,37,Astrocaryum mexicanum
7,43,Astrocaryum mexicanum
7,45,Astrocaryum mexicanum
8,14,Astrocaryum mexicanum
8,20,Astrocaryum mexicanum
8,22,Astrocaryum mexicanum
8,24,Astrocaryum mexicanum
8,25,Astrocaryum mexicanum
8,38,Astrocaryum mexicanum
8,47,Astrocaryum mexicanum
8,52,Astrocaryum mexicanum
9,2,Astrocaryum mexicanum
9,3,Astrocaryum mexicanum
9,5,Astrocaryum mexicanum
