Transect,Plant,Species,LIANA,LARGE TREE,TREE
10,16,Sapranthus,0,0,0
3,7,Acalypha diversifolia,0,0,0
4,2,Acalypha diversifolia,0,0,0
6,7,Acalypha diversifolia,0,0,0
6,8,Acalypha diversifolia,0,0,0
8,7,Acalypha diversifolia,0,0,0
8,10,Acalypha diversifolia,0,0,0
7,6,Aegephila costaricensis,0,0,0
6,26,Allophylus campostachys,0,0,0
5,10,Amphitecna tuxtlensis,0,0,0
8,27,Apocynaceae 1,0,0,0
2,7,Apocynacee 2,0,0,0
8,30,Apoxynacaea 2,0,0,0
8,18,Arrabidea verrucosa,0,0,0
1,1,Astrocaryum mexicanum,0,0,0
1,9,Astrocaryum mexicanum,0,0,0
1,10,Astrocaryum mexicanum,0,0,0
1,13,Astrocaryum mexicanum,0,0,0
1,14,Astrocaryum mexicanum,0,0,0
1,20,Astrocaryum mexicanum,0,0,0
1,21,Astrocaryum mexicanum,0,0,0
1,23,Astrocaryum mexicanum,0,0,0
1,24,Astrocaryum mexicanum,0,0,0
1,25,Astrocaryum mexicanum,0,0,0
1,29,Astrocaryum mexicanum,0,0,0
1,32,Astrocaryum mexicanum,0,0,0
1,33,Astrocaryum mexicanum,0,0,0
2,5,Astrocaryum mexicanum,0,0,0
2,10,Astrocaryum mexicanum,0,0,0
2,20,Astrocaryum mexicanum,0,0,0
2,26,Astrocaryum mexicanum,0,0,0
2,27,Astrocaryum mexicanum,0,0,0
2,28,Astrocaryum mexicanum,0,0,0
2,29,Astrocaryum mexicanum,0,0,0
2,30,Astrocaryum mexicanum,0,0,0
3,8,Astrocaryum mexicanum,0,0,0
3,10,Astrocaryum mexicanum,0,0,0
3,11,Astrocaryum mexicanum,0,0,0
3,14,Astrocaryum mexicanum,0,0,0
3,15,Astrocaryum mexicanum,0,0,0
3,16,Astrocaryum mexicanum,0,0,0
3,17,Astrocaryum mexicanum,0,0,0
3,19,Astrocaryum mexicanum,0,0,0
3,21,Astrocaryum mexicanum,0,0,0
3,22,Astrocaryum mexicanum,0,0,0
3,23,Astrocaryum mexicanum,0,0,0
3,25,Astrocaryum mexicanum,0,0,0
3,26,Astrocaryum mexicanum,0,0,0
3,27,Astrocaryum mexicanum,0,0,0
4,1,Astrocaryum mexicanum,0,0,0
4,3,Astrocaryum mexicanum,0,0,0
4,4,Astrocaryum mexicanum,0,0,0
4,5,Astrocaryum mexicanum,0,0,0
4,6,Astrocaryum mexicanum,0,0,0
4,9,Astrocaryum mexicanum,0,0,0
4,10,Astrocaryum mexicanum,0,0,0
4,12,Astrocaryum mexicanum,0,0,0
4,14,Astrocaryum mexicanum,0,0,0
4,15,Astrocaryum mexicanum,0,0,0
4,19,Astrocaryum mexicanum,0,0,0
4,20,Astrocaryum mexicanum,0,0,0
4,21,Astrocaryum mexicanum,0,0,0
5,3,Astrocaryum mexicanum,0,0,0
5,6,Astrocaryum mexicanum,0,0,0
5,12,Astrocaryum mexicanum,0,0,0
5,13,Astrocaryum mexicanum,0,0,0
5,14,Astrocaryum mexicanum,0,0,0
5,15,Astrocaryum mexicanum,0,0,0
5,16,Astrocaryum mexicanum,0,0,0
6,11,Astrocaryum mexicanum,0,0,0
6,12,Astrocaryum mexicanum,0,0,0
6,13,Astrocaryum mexicanum,0,0,0
6,14,Astrocaryum mexicanum,0,0,0
6,18,Astrocaryum mexicanum,0,0,0
6,19,Astrocaryum mexicanum,0,0,0
6,20,Astrocaryum mexicanum,0,0,0
6,21,Astrocaryum mexicanum,0,0,0
6,23,Astrocaryum mexicanum,0,0,0
6,28,Astrocaryum mexicanum,0,0,0
6,29,Astrocaryum mexicanum,0,0,0
6,30,Astrocaryum mexicanum,0,0,0
7,2,Astrocaryum mexicanum,0,0,0
7,7,Astrocaryum mexicanum,0,0,0
7,24,Astrocaryum mexicanum,0,0,0
7,27,Astrocaryum mexicanum,0,0,0
7,37,Astrocaryum mexicanum,0,0,0
7,43,Astrocaryum mexicanum,0,0,0
7,45,Astrocaryum mexicanum,0,0,0
8,14,Astrocaryum mexicanum,0,0,0
8,20,Astrocaryum mexicanum,0,0,0
8,22,Astrocaryum mexicanum,0,0,0
8,24,Astrocaryum mexicanum,0,0,0
8,25,Astrocaryum mexicanum,0,0,0
8,38,Astrocaryum mexicanum,0,0,0
8,47,Astrocaryum mexicanum,0,0,0
8,52,Astrocaryum mexicanum,0,0,0
9,2,Astrocaryum mexicanum,0,0,0
9,3,Astrocaryum mexicanum,0,0,0
9,5,Astrocaryum mexicanum,0,0,0
9,7,Astrocaryum mexicanum,0,0,0
9,11,Astrocaryum mexicanum,0,0,0
9,12,Astrocaryum mexicanum,0,0,0
9,13,Astrocaryum mexicanum,0,0,0
9,14,Astrocaryum mexicanum,0,0,0
9,16,Astrocaryum mexicanum,0,0,0
9,19,Astrocaryum mexicanum,0,0,0
9,24,Astrocaryum mexicanum,0,0,0
9,29,Astrocaryum mexicanum,0,0,0
9,31,Astrocaryum mexicanum,0,0,0
9,32,Astrocaryum mexicanum,0,0,0
10,1,Astrocaryum mexicanum,0,0,0
10,2,Astrocaryum mexicanum,0,0,0
10,5,Astrocaryum mexicanum,0,0,0
10,6,Astrocaryum mexicanum,0,0,0
10,7,Astrocaryum mexicanum,0,0,0
10,8,Astrocaryum mexicanum,0,0,0
10,9,Astrocaryum mexicanum,0,0,0
10,10,Astrocaryum mexicanum,0,0,0
10,11,Astrocaryum mexicanum,0,0,0
10,14,Astrocaryum mexicanum,0,0,0
10,15,Astrocaryum mexicanum,0,0,0
10,17,Astrocaryum mexicanum,0,0,0
10,18,Astrocaryum mexicanum,0,0,0
10,20,Astrocaryum mexicanum,0,0,0
10,21,Astrocaryum mexicanum,0,0,0
10,22,Astrocaryum mexicanum,0,0,0
10,24,Astrocaryum mexicanum,0,0,0
10,25,Astrocaryum mexicanum,0,0,0
10,27,Astrocaryum mexicanum,0,0,0
10,28,Astrocaryum mexicanum,0,0,0
5,17,Bactris mexicana,0,0,0
7,44,Bactris mexicana,0,0,0
8,46,Bactris mexicana,0,0,0
10,3,Bactris mexicana,0,0,0
10,12,Bactris mexicana,0,0,0
10,31,Bactris mexicana,0,0,0
5,19,Bernoullia flammea,0,0,0
2,6,Brosimum alicastrum,0,0,0
2,16,Brosimum alicastrum,0,0,0
2,18,Brosimum alicastrum,0,0,0
